# step, loss_train, loss_test, metrics_test
0.000000000000000000e+00 5.207913085937500000e+03 6.443743652343750000e+03 1.000002622604370117e+00
1.000000000000000000e+03 8.097499084472656250e+01 9.788375854492187500e+01 3.888707756996154785e-01
2.000000000000000000e+03 8.318183898925781250e+00 1.016262435913085938e+01 1.199161484837532043e-01
3.000000000000000000e+03 9.490160942077636719e-01 1.223008871078491211e+00 3.587524965405464172e-02
4.000000000000000000e+03 4.774920642375946045e-01 6.150218248367309570e-01 1.303113996982574463e-02
5.000000000000000000e+03 3.398115634918212891e-01 3.841712176799774170e-01 8.939144201576709747e-03
